Bandel;Startläge;Slutläge;Spårnamn;Event Category;Event Type;Start Date;End Date;Reference ID;Day Age;Last Edited By;Last Edited Time;Räl Beskrivning Yttersträng;Max Sidoslitage;Max Sidoslitage Yttersträng;Sträcka;Mätning;Befästningsmodell;Längd sträcka H > 6 mm Innersträng (m);Mätning Spårvidd;Spårklass;Räl Inläggningsår Innersträng;Medel Sidoslitage Cirkulärkurva;Hastighetsklass;Medel Spårvidd Cirkulärkurva;Slipermodell;Längd sträcka H > 6 mm Yttersträng (m);Räl Stålsort Yttersträng;Räl Stålsort Innersträng;Medel Höjdslitage Yttersträng Cirkulärkurva;Medel Höjdslitage Innersträng Cirkulärkurva;Radie;Längd sträcka H > 10 mm Innersträng (m);Medel Sidoslitage Innersträng Cirkulärkurva;Procent mätt Spårvidd;Max H Innersträng;Skriptversion;Räl Beskrivning Innersträng;Max H;Längd Kurva (m);_Skapat_av;Max Höjdslitage Innersträng;Medel H Yttersträng Cirkulärkurva;Procent mätt;Medel Spårvidd - Sidoslitage Cirkulärkurva;_Skapat_datum;Medel Höjdslitage Cirkulärkurva;Rälvikt (kg);Medel H Innersträng Cirkulärkurva;Längd sträcka H > 10 mm Yttersträng (m);Max Sidoslitage Innersträng;Max Spårvidd;Medel H Cirkulärkurva;Max Spårvidd - Max Sidoslitage;Max H Yttersträng;Max Höjdslitage;Plats;Längd Spårvidd max över UH1 gräns;Räl Inläggningsår Yttersträng;Skriptnamn;Max Höjdslitage Yttersträng;Min Spårvidd;Medel Sidoslitage Yttersträng Cirkulärkurva;Mätvagn;Mätdatum;Geometrityp;Räl Stålsort Höger räl;Medel Höjdslitage Vänster räl;BIS objnr;Längd sträcka H > 10 mm Vänster räl (m);Medel H Vänster räl;Medel Sidoslitage Vänster räl;Räl Inläggningsår Vänster räl;Räl Inläggningsår Höger räl;Max H Vänster räl;Max Höjdslitage Höger räl;Längd sträcka H > 10 mm Höger räl (m);Max Höjdslitage Vänster räl;Max Sidoslitage Vänster räl;Max Sidoslitage Höger räl;Medel Höjdslitage Höger räl;Medel H Höger räl;Medel Sidoslitage Höger räl;Max H Höger räl;Räl Beskrivning Vänster räl;Längd sträcka H > 6 mm Höger räl (m);Räl Stålsort Vänster räl;Räl Beskrivning Höger räl;Längd sträcka H > 6 mm Vänster räl (m);Medel Sidoslitage;Medel H;Medel Höjdslitage;Radie (meter);Event ID
116;23 + 305,0 m;23 + 666,0 m;E;RPM Rälslitage i kurva;Rälslitage i kurva;120428 00:00;120628 00:00;2363266435;4567;;;13L60?;2,92;2,92;Linje;RPM_1204281348A_116_E_38_660;P-Ec;;;1;2013;2,42;1,0;;B2.5;;?;?;0,0;0,0;-880,0;;0,14;;0,22;2.4;13L60?;1,46;361;spajan01;0,0;1,22;100;;160518 15:19;0,0;60;0,06;;0,43;;1,22;;1,46;0,0;Apt - Mtn;;2013;Rail Wear varningslista;0,0;;2,42;;120428 00:00;;;;379;;;;;;;;;;;;;;;;;;;;;;;;;
116;14 + 763,0 m;15 + 358,0 m;E;RPM Rälslitage i kurva;Rälslitage i kurva;120428 00:00;120628 00:00;2363266436;4567;;;93L60L93;1,03;1,03;Linje;RPM_1204281348A_116_E_38_660;P-Ec;;;1;1993;0,36;1,0;;B2.5;;900A;900A;0,0;0,0;-597,0;;0,19;;0,33;2.4;93L60L93;0,52;594;spajan01;0,0;0,19;100;;160518 15:19;0,0;60;0,09;;0,66;;0,19;;0,52;0,0;Apt - Mtn;;1993;Rail Wear varningslista;0,0;;0,36;;120428 00:00;;;;368;;;;;;;;;;;;;;;;;;;;;;;;;
116;25 + 18,0 m;25 + 377,0 m;E;RPM Rälslitage i kurva;Rälslitage i kurva;120428 00:00;120628 00:00;2363266437;4567;;;94L60L94;0,57;0,57;Linje;RPM_1204281348A_116_E_38_660;P-Ec;;;1;1994;0,29;1,0;;B2.5;;900A;900A;0,0;0,0;-1000,0;;0,08;;0,21;2.4;94L60L94;0,28;359;spajan01;0,0;0,15;100;;160518 15:19;0,0;60;0,03;;0,25;;0,15;;0,28;0,0;Apt - Mtn;;1994;Rail Wear varningslista;0,0;;0,29;;120428 00:00;;;;383;;;;;;;;;;;;;;;;;;;;;;;;;
116;11 + 415,0 m;11 + 945,0 m;E;RPM Rälslitage i kurva;Rälslitage i kurva;120428 00:00;120628 00:00;2363266438;4567;;;93L60L93;0,66;0,66;Linje;RPM_1204281348A_116_E_38_660;P-Ec;;;1;1993;0,38;1,0;;B2.5;;900A;900A;0,0;0,0;-595,0;;0,12;;0,13;2.4;93L60L93;0,33;530;spajan01;0,0;0,19;100;;160518 15:19;0,0;60;0,06;;0,26;;0,19;;0,33;0,0;Apt - Mtn;;1993;Rail Wear varningslista;0,0;;0,38;;120428 00:00;;;;365;;;;;;;;;;;;;;;;;;;;;;;;;
116;8 + 657,0 m;9 + 70,0 m;E;RPM Rälslitage i kurva;Rälslitage i kurva;150728 00:00;150928 00:00;2363266439;3381;;;93L60L93;0,92;0,73;Linje;RPM_1507280925A_116_E_1_536;P-Ec;61.0;SPL_1507281022A_116_E_10_1000;1;1993;0,23;1,0;6,1;B2.5;4.0;900A;900A;2,11;3,25;606,0;;0,1;100,0;8,43;2.4;93L60L93;8,43;414;spajan01;8,81;2,22;100;5,87;160513 23:09;3,25;60;3,3;;0,92;8,8;3,3;7,88;6,7;8,81;Rsi - Apt;;1993;Rail Wear varningslista;6,69;-1,1;0,23;;150728 00:00;;;;676;;;;;;;;;;;;;;;;;;;;;;;;;
116;15 + 729,0 m;16 + 235,0 m;E;RPM Rälslitage i kurva;Rälslitage i kurva;150728 00:00;150928 00:00;2363266440;3381;;;93L60L93;0,86;0,86;Linje;RPM_1507280925A_116_E_1_536;P-Ec;260.0;SPL_1507280925A_116_E_1_535;1;1993;0,28;1,0;9,0;B2.5;123.0;900A;900A;2,52;3,17;600,0;;0,05;100,0;9,93;2.4;93L60L93;9,93;505;spajan01;10,04;2,65;100;8,72;160513 23:09;3,17;60;3,2;;0,44;12,2;3,2;11,34;9,71;10,04;Apt - Mtn;;1993;Rail Wear varningslista;9,9;0,7;0,28;;150728 00:00;;;;369;;;;;;;;;;;;;;;;;;;;;;;;;
116;18 + 220,0 m;18 + 828,0 m;E;RPM Rälslitage i kurva;Rälslitage i kurva;120428 00:00;120628 00:00;2363266441;4567;;;93L60L93;0,47;0,32;Linje;RPM_1204281348A_116_E_38_660;P-Ec;;;1;1993;0,32;1,0;;B2.5;;900A;900A;0,0;0,0;-3850,0;;0,19;;0,23;2.4;93L60L93;0,23;608;spajan01;0,0;0,16;100;;160518 15:19;0,0;60;0,09;;0,47;;0,16;;0,16;0,0;Apt - Mtn;;1993;Rail Wear varningslista;0,0;;0,32;;120428 00:00;;;;372;;;;;;;;;;;;;;;;;;;;;;;;;
116;9 + 769,0 m;9 + 988,0 m;E;RPM Rälslitage i kurva;Rälslitage i kurva;120428 00:00;120628 00:00;2363266442;4567;;;93L60L93;0,32;0,32;Driftplats (nhsp);RPM_1204281348A_116_E_38_660;P-Ec;;;1;1993;0,32;1,0;;B2.5;;900A;900A;0,0;0,0;-1110,0;;0,05;;0,07;2.4;93L60L93;0,16;220;spajan01;0,0;0,16;100;;160518 15:19;0,0;60;0,02;;0,14;;0,16;;0,16;0,0;Apt;;1993;Rail Wear varningslista;0,0;;0,32;;120428 00:00;;;;362;;;;;;;;;;;;;;;;;;;;;;;;;
116;13 + 923,0 m;14 + 444,0 m;E;RPM Rälslitage i kurva;Rälslitage i kurva;150728 00:00;150928 00:00;2363266443;3381;;;13L60?;0,87;0,87;Linje;RPM_1507280925A_116_E_1_536;P-Ec;506.0;SPL_1507280925A_116_E_1_535;1;1993;0,18;1,0;8,4;B2.5;3.0;?;900A;1,32;7,31;1001,0;;-0,53;100,0;8,24;2.4;93L60L93;8,24;522;spajan01;8,52;1,41;100;8,22;160513 23:09;7,31;60;7,04;;0,68;14,4;7,04;13,53;6,28;8,52;Apt - Mtn;;2013;Rail Wear varningslista;6,39;0,1;0,18;;150728 00:00;;;;367;;;;;;;;;;;;;;;;;;;;;;;;;
116;19 + 785,0 m;19 + 950,0 m;E;RPM Rälslitage i kurva;Rälslitage i kurva;150728 00:00;150928 00:00;2363266444;3381;;;94L60L94;0,95;0,95;Linje;RPM_1507280925A_116_E_1_536;P-Ec;189.0;SPL_1507280925A_116_E_1_535;1;1994;0,15;1,0;3,9;B2.5;106.0;900A;900A;6,39;6,22;3850,0;;-0,37;100,0;7,02;2.4;94L60L94;7,35;165;spajan01;7,24;6,46;100;3,75;160513 23:09;6,39;60;6,03;;0,33;5,5;6,46;4,55;7,35;7,24;Apt - Mtn;;1994;Rail Wear varningslista;6,99;0,8;0,15;;150728 00:00;;;;375;;;;;;;;;;;;;;;;;;;;;;;;;
