Bandel;Startläge;Slutläge;Spårnamn;Event Category;Event Type;Start Date;End Date;Reference ID;Day Age;Last Edited By;Last Edited Time;Räl Beskrivning Yttersträng;Max Sidoslitage;Max Sidoslitage Yttersträng;Sträcka;Mätning;Befästningsmodell;Längd sträcka H > 6 mm Innersträng (m);Mätning Spårvidd;Spårklass;Räl Inläggningsår Innersträng;Medel Sidoslitage Cirkulärkurva;Hastighetsklass;Medel Spårvidd Cirkulärkurva;Slipermodell;Längd sträcka H > 6 mm Yttersträng (m);Räl Stålsort Yttersträng;Räl Stålsort Innersträng;Medel Höjdslitage Yttersträng Cirkulärkurva;Medel Höjdslitage Innersträng Cirkulärkurva;Radie;Längd sträcka H > 10 mm Innersträng (m);Medel Sidoslitage Innersträng Cirkulärkurva;Procent mätt Spårvidd;Max H Innersträng;Skriptversion;Räl Beskrivning Innersträng;Max H;Längd Kurva (m);_Skapat_av;Max Höjdslitage Innersträng;Medel H Yttersträng Cirkulärkurva;Procent mätt;Medel Spårvidd - Sidoslitage Cirkulärkurva;_Skapat_datum;Medel Höjdslitage Cirkulärkurva;Rälvikt (kg);Medel H Innersträng Cirkulärkurva;Längd sträcka H > 10 mm Yttersträng (m);Max Sidoslitage Innersträng;Max Spårvidd;Medel H Cirkulärkurva;Max Spårvidd - Max Sidoslitage;Max H Yttersträng;Max Höjdslitage;Plats;Längd Spårvidd max över UH1 gräns;Räl Inläggningsår Yttersträng;Skriptnamn;Max Höjdslitage Yttersträng;Min Spårvidd;Medel Sidoslitage Yttersträng Cirkulärkurva;Mätvagn;Mätdatum;Geometrityp;Räl Stålsort Höger räl;Medel Höjdslitage Vänster räl;BIS objnr;Längd sträcka H > 10 mm Vänster räl (m);Medel H Vänster räl;Medel Sidoslitage Vänster räl;Räl Inläggningsår Vänster räl;Räl Inläggningsår Höger räl;Max H Vänster räl;Max Höjdslitage Höger räl;Längd sträcka H > 10 mm Höger räl (m);Max Höjdslitage Vänster räl;Max Sidoslitage Vänster räl;Max Sidoslitage Höger räl;Medel Höjdslitage Höger räl;Medel H Höger räl;Medel Sidoslitage Höger räl;Max H Höger räl;Räl Beskrivning Vänster räl;Längd sträcka H > 6 mm Höger räl (m);Räl Stålsort Vänster räl;Räl Beskrivning Höger räl;Längd sträcka H > 6 mm Vänster räl (m);Medel Sidoslitage;Medel H;Medel Höjdslitage;Radie (meter);Event ID
113A;1339 + 437,0 m;1339 + 526,0 m;E;RPM Rälslitage i kurva;Rälslitage i kurva;140913 00:00;141113 00:00;2363262026;3699;;;83L50DOMN82;7,17;7,17;Linje;RPM_1409131425A_113A_E_1380_798;P-Ec;;SPL_1409131425A_113A_E_1380_801;2;1983;6,02;2,0;13,8;B;460.0;1100;1100;4,28;4,15;669,0;;0,08;100,0;4,68;2.4;83L50DOMN82;8,18;89;spajan01;4,66;7,29;100;7,78;160514 12:44;4,28;50;4,18;;0,19;17,1;7,29;9,93;8,18;4,94;Lin - Håk;7.7;1983;Rail Wear varningslista;4,94;9,9;6,02;;140913 00:00;;;;31106;;;;;;;;;;;;;;;;;;;;;;;;;
113A;1380 + 573,57 m;1380 + 701,7 m;E;RPM Rälslitage i kurva;Rälslitage i kurva;140913 00:00;141113 00:00;2363262027;3699;;;86L50DOMN86;0,76;0,76;Driftplats (nhsp);RPM_1409131425A_113A_E_1380_798;P-Ec;;SPL_1409131425A_113A_E_1380_801;2;1986;0,12;3,0;2,2;B;;1100;1100;2,78;3,03;2550,0;;0,05;100,0;3,17;2.4;86L50DOMN86;3,5;128;spajan01;3,14;2,85;100;2,08;160514 12:44;3,03;50;3,06;;0,14;5,2;3,06;4,44;3,5;3,14;Lab;;1986;Rail Wear varningslista;3,13;-1,4;0,12;;140913 00:00;;;;50162;;;;;;;;;;;;;;;;;;;;;;;;;
113A;1361 + 482,48 m;1361 + 719,72 m;E;RPM Rälslitage i kurva;Rälslitage i kurva;140913 00:00;141113 00:00;2363262028;3699;;;84L50DOMN83;0,63;0,63;Linje;RPM_1409131425A_113A_E_1380_798;P-Ec;;SPL_1409131425A_113A_E_1380_801;2;1984;0,44;2,0;2,7;B;;1100;1100;2,7;3,48;1463,0;;0,08;100,0;3,81;2.4;84L50DOMN83;3,81;237;spajan01;3,74;2,92;100;2,26;160514 12:44;3,48;50;3,52;;0,29;6,1;3,52;5,47;3,1;3,74;Har - Fjå;;1984;Rail Wear varningslista;2,89;-2,3;0,44;;140913 00:00;;;;50097;;;;;;;;;;;;;;;;;;;;;;;;;
113A;1331 + 152,85 m;1331 + 583,42 m;E;RPM Rälslitage i kurva;Rälslitage i kurva;140913 00:00;141113 00:00;2363262029;3699;;;82L50DOMN82;6,41;6,41;Linje;RPM_1409131425A_113A_E_1380_798;P-Ec;;SPL_1409131425A_113A_E_1380_801;2;1982;5,32;2,0;10,0;B;263.0;1100;1100;5,34;4,43;594,0;;0,23;100,0;5,07;2.4;82L50DOMN82;9,0;431;spajan01;4,9;8,0;100;4,68;160514 12:44;5,34;50;4,54;;0,68;14,3;8,0;7,89;9,0;5,96;Stk - Lin;;1982;Rail Wear varningslista;5,96;-1,6;5,32;;140913 00:00;;;;31089;;;;;;;;;;;;;;;;;;;;;;;;;
113A;1339 + 933,0 m;1340 + 316,09 m;E;RPM Rälslitage i kurva;Rälslitage i kurva;140913 00:00;141113 00:00;2363262030;3699;;;83L50DOMN82;1,02;1,02;Linje;RPM_1409131425A_113A_E_1380_798;-;392.0;SPL_1409131425A_113A_E_1380_801;2;1983;0,76;2,0;4,1;B;;1100;1100;0,82;6,55;588,0;;0,03;100,0;7,28;2.4;83L50DOMN82;7,28;385;spajan01;7,28;1,2;100;3,34;160514 12:44;6,55;50;6,57;;0,13;7,8;6,57;6,78;5,56;7,28;Lin - Håk;;1983;Rail Wear varningslista;5,14;-0,5;0,76;;140913 00:00;;;;31108;;;;;;;;;;;;;;;;;;;;;;;;;
113A;1347 + 279,0 m;1347 + 528,0 m;E;RPM Rälslitage i kurva;Rälslitage i kurva;140913 00:00;141113 00:00;2363262031;3699;;;83L50DOMN83;2,17;2,17;Linje;RPM_1409131425A_113A_E_1380_798;P-Ec;135.0;SPL_1409131425A_113A_E_1380_801;2;1983;1,46;2,0;7,5;B;;1100;1100;1,67;6,19;603,5;;0,05;100,0;7,21;2.4;83L50DOMN83;7,21;249;spajan01;7,19;2,4;100;6,04;160514 12:44;6,19;50;6,21;;0,18;11,1;6,21;8,93;3,15;7,19;Håk - Har;;1983;Rail Wear varningslista;2,06;3,9;1,46;;140913 00:00;;;;31145;;;;;;;;;;;;;;;;;;;;;;;;;
113A;1367 + 200,2 m;1367 + 643,64 m;E;RPM Rälslitage i kurva;Rälslitage i kurva;140913 00:00;141113 00:00;2363262032;3699;;;84L50DOMN83;2,48;2,48;Linje;RPM_1409131425A_113A_E_1380_798;P-Ec;;SPL_1409131425A_113A_E_1380_801;2;1984;1,74;2,0;8,1;B;;1100;1100;3,21;4,0;1164,0;;0,06;100,0;4,27;2.4;84L50DOMN83;4,66;443;spajan01;4,24;4,08;100;6,36;160514 12:44;4,0;50;4,04;;0,31;16,9;4,08;14,42;4,66;4,24;Har - Fjå;0.8;1984;Rail Wear varningslista;3,8;-3,3;1,74;;140913 00:00;;;;31189;;;;;;;;;;;;;;;;;;;;;;;;;
113A;1335 + 0,0 m;1335 + 844,16 m;E;RPM Rälslitage i kurva;Rälslitage i kurva;140913 00:00;141113 00:00;2363262033;3699;;;82L50DOMN82;1,86;1,86;Linje;RPM_1409131425A_113A_E_1380_798;P-Ec;13.0;SPL_1409131425A_113A_E_1380_801;2;1983;0,48;3,0;2,8;B;;1100;1100;3,16;3,83;9860,0;;0,48;100,0;6,14;2.4;82L50DOMN82;6,14;845;spajan01;6,14;3,32;100;2,32;160514 12:44;3,83;50;4,06;;1,38;6,5;4,06;4,64;5,18;6,14;Stk - Lin;;1983;Rail Wear varningslista;4,75;-3,5;0,32;;140913 00:00;;;;31096;;;;;;;;;;;;;;;;;;;;;;;;;
113A;1366 + 37,0 m;1366 + 666,0 m;E;RPM Rälslitage i kurva;Rälslitage i kurva;140913 00:00;141113 00:00;2363262034;3699;;;84L50DOMN83;3,11;3,11;Linje;RPM_1409131425A_113A_E_1380_798;P-Ec;;SPL_1409131425A_113A_E_1380_801;2;1984;2,11;2,0;10,7;B;;1100;1100;3,77;3,85;940,0;;0,01;100,0;4,2;2.4;84L50DOMN83;5,44;629;spajan01;4,2;4,82;100;8,59;160514 12:44;3,85;50;3,86;;0,08;16,3;4,82;13,19;5,44;4,2;Har - Fjå;1.0;1984;Rail Wear varningslista;4,11;-2,1;2,11;;140913 00:00;;;;31187;;;;;;;;;;;;;;;;;;;;;;;;;
113A;1360 + 490,0 m;1360 + 889,0 m;E;RPM Rälslitage i kurva;Rälslitage i kurva;140913 00:00;141113 00:00;2363262035;3699;;;84L50DOMN83;2,4;2,4;Linje;RPM_1409131425A_113A_E_1380_798;P-Ec;;SPL_1409131425A_113A_E_1380_801;2;1984;1,77;2,0;7,3;B;;1100;1100;2,85;3,54;940,0;;0,05;100,0;3,97;2.4;84L50DOMN83;4,4;399;spajan01;3,97;3,73;100;5,53;160514 12:44;3,54;50;3,57;;0,26;11,1;3,73;8,7;4,4;3,97;Har - Fjå;;1984;Rail Wear varningslista;3,4;-1,9;1,77;;140913 00:00;;;;31171;;;;;;;;;;;;;;;;;;;;;;;;;
