Bandel;Startläge;Slutläge;Spårnamn;Event Category;Event Type;Start Date;End Date;Reference ID;Day Age;Last Edited By;Last Edited Time;Räl Beskrivning Yttersträng;Max Sidoslitage;Max Sidoslitage Yttersträng;Sträcka;Mätning;Befästningsmodell;Längd sträcka H > 6 mm Innersträng (m);Mätning Spårvidd;Spårklass;Räl Inläggningsår Innersträng;Medel Sidoslitage Cirkulärkurva;Hastighetsklass;Medel Spårvidd Cirkulärkurva;Slipermodell;Längd sträcka H > 6 mm Yttersträng (m);Räl Stålsort Yttersträng;Räl Stålsort Innersträng;Medel Höjdslitage Yttersträng Cirkulärkurva;Medel Höjdslitage Innersträng Cirkulärkurva;Radie;Längd sträcka H > 10 mm Innersträng (m);Medel Sidoslitage Innersträng Cirkulärkurva;Procent mätt Spårvidd;Max H Innersträng;Skriptversion;Räl Beskrivning Innersträng;Max H;Längd Kurva (m);_Skapat_av;Max Höjdslitage Innersträng;Medel H Yttersträng Cirkulärkurva;Procent mätt;Medel Spårvidd - Sidoslitage Cirkulärkurva;_Skapat_datum;Medel Höjdslitage Cirkulärkurva;Rälvikt (kg);Medel H Innersträng Cirkulärkurva;Längd sträcka H > 10 mm Yttersträng (m);Max Sidoslitage Innersträng;Max Spårvidd;Medel H Cirkulärkurva;Max Spårvidd - Max Sidoslitage;Max H Yttersträng;Max Höjdslitage;Plats;Längd Spårvidd max över UH1 gräns;Räl Inläggningsår Yttersträng;Skriptnamn;Max Höjdslitage Yttersträng;Min Spårvidd;Medel Sidoslitage Yttersträng Cirkulärkurva;Mätvagn;Mätdatum;Geometrityp;Räl Stålsort Höger räl;Medel Höjdslitage Vänster räl;BIS objnr;Längd sträcka H > 10 mm Vänster räl (m);Medel H Vänster räl;Medel Sidoslitage Vänster räl;Räl Inläggningsår Vänster räl;Räl Inläggningsår Höger räl;Max H Vänster räl;Max Höjdslitage Höger räl;Längd sträcka H > 10 mm Höger räl (m);Max Höjdslitage Vänster räl;Max Sidoslitage Vänster räl;Max Sidoslitage Höger räl;Medel Höjdslitage Höger räl;Medel H Höger räl;Medel Sidoslitage Höger räl;Max H Höger räl;Räl Beskrivning Vänster räl;Längd sträcka H > 6 mm Höger räl (m);Räl Stålsort Vänster räl;Räl Beskrivning Höger räl;Längd sträcka H > 6 mm Vänster räl (m);Medel Sidoslitage;Medel H;Medel Höjdslitage;Radie (meter);Event ID
118;1217 + 260,0 m;1217 + 489,0 m;E;RPM Rälslitage i kurva;Rälslitage i kurva;140914 00:00;141114 00:00;2363267428;3698;;;93L60DO93;1,78;1,78;Linje;RPM_1409140956A_118_E_1311_499;P-Ec;1.0;SPL_1409140956A_118A_E_1311_503;1;1993;0,44;3,0;7,8;B2.5;1.0;1100;1100;4,04;5,15;-1330,0;;0,08;100,0;6,23;2.4;93L60DO93;6,23;229;spajan01;5,98;4,26;100;7,36;160514 12:46;5,15;60;5,19;;0,5;15,3;5,19;13,52;6,03;5,98;Nb - Tet;2.2;1993;Rail Wear varningslista;5,14;2,4;0,44;;140914 00:00;;;;901;;;;;;;;;;;;;;;;;;;;;;;;;
118;1209 + 594,0 m;1209 + 662,0 m;E;RPM Rälslitage i kurva;Rälslitage i kurva;120814 00:00;121014 00:00;2363267429;4459;;;93L60DO93;1,38;1,38;Linje;RPM_1208141106A_118_E_1193_940;P-Ec;;;1;1993;0,49;3,0;;B2.5;;1100;1100;3,22;2,77;3000,0;;0,49;;3,14;2.4;93L60DO93;4,04;68;spajan01;2,9;3,41;100;;160518 02:33;3,22;60;3,01;;0,56;;3,41;;4,04;3,57;Lkä - Nb;;1993;Rail Wear varningslista;3,57;;0,38;;120814 00:00;;;;467;;;;;;;;;;;;;;;;;;;;;;;;;
118;1229 + 910,0 m;1230 + 112,0 m;E;RPM Rälslitage i kurva;Rälslitage i kurva;140914 00:00;141114 00:00;2363267430;3698;;;93L60DO93;6,35;6,35;Linje;RPM_1409140956A_118_E_1311_499;P-Ec;8.0;SPL_1409140956A_118A_E_1311_503;1;2013;5,51;2,0;18,1;B2.5;314.0;1100;LHT;7,56;1,44;469,0;;0,46;100,0;6,35;2.4;13L60DO13;11,12;206;spajan01;6,35;10,32;98;12,59;160514 12:46;7,56;60;1,67;65.0;0,57;21,6;10,32;15,25;11,12;8,37;Tet - Mk;460.9;1993;Rail Wear varningslista;8,37;0,9;5,51;;140914 00:00;;;;939;;;;;;;;;;;;;;;;;;;;;;;;;
118;1153 + 862,0 m;1154 + 242,0 m;E;RPM Rälslitage i kurva;Rälslitage i kurva;140914 00:00;141114 00:00;2363267434;3698;;;13L60DO13;1,3;1,3;Linje;RPM_1409140956A_118_E_1311_499;P-Ec;420.0;SPL_1409140956A_118A_E_1311_503;1;1989;0,33;2,0;4,8;B;62.0;LHT;900;0,99;7,35;-925,0;;0,0;100,0;8,12;2.4;89L60DO89;8,24;385;spajan01;8,12;1,15;100;4,47;160514 12:46;7,35;60;7,35;;0,1;8,7;7,35;7,4;8,24;8,12;Hfs - Lså;;2013;Rail Wear varningslista;7,65;-2,4;0,33;;140914 00:00;;;;400;;;;;;;;;;;;;;;;;;;;;;;;;
118;1215 + 236,0 m;1215 + 371,0 m;E;RPM Rälslitage i kurva;Rälslitage i kurva;120814 00:00;121014 00:00;2363267435;4459;;;89L60DO89;0,93;0,54;Driftplats (nhsp);RPM_1208141106A_118_E_1193_940;P-Ec;;;1;1989;0,54;3,0;;B;;900;900;3,86;2,71;1305,0;;0,54;;4,26;2.4;89L60DO89;4,26;135;spajan01;3,94;3,86;100;;160518 02:33;3,86;60;2,98;;0,93;;3,86;;4,18;4,18;Nb;;1989;Rail Wear varningslista;4,18;;0,0;;120814 00:00;;;;894;;;;;;;;;;;;;;;;;;;;;;;;;
118;1207 + 826,0 m;1208 + 111,0 m;E;RPM Rälslitage i kurva;Rälslitage i kurva;120814 00:00;121014 00:00;2363267437;4459;;;93L60DO93;3,59;3,59;Linje;RPM_1208141106A_118_E_1193_940;-;;;1;1993;1,41;3,0;;B2.5;;1100;1100;3,42;3,24;989,0;;0,05;;4,65;2.4;93L60DO93;5,75;286;spajan01;3,82;4,12;100;;160518 02:33;3,42;60;3,26;;2,22;;4,12;;5,75;4,2;Lkä - Nb;;1993;Rail Wear varningslista;4,2;;1,41;;120814 00:00;;;;464;;;;;;;;;;;;;;;;;;;;;;;;;
118;1201 + 910,0 m;1202 + 219,0 m;E;RPM Rälslitage i kurva;Rälslitage i kurva;120814 00:00;121014 00:00;2363267440;4459;;;14L60?;5,15;5,15;Linje;RPM_1208141106A_118_E_1193_940;P-Ec;425.0;;1;1991;3,96;2,0;;B;316.0;LHT;900A;8,55;6,9;1000,0;;0,68;;8,46;2.4;91L60DO91;11,87;311;spajan01;8,06;10,54;100;;160518 02:33;8,55;60;7,24;96.0;1,05;;10,54;;11,87;9,32;Glt - Lkä;;2014;Rail Wear varningslista;9,32;;3,96;;120814 00:00;;;;454;;;;;;;;;;;;;;;;;;;;;;;;;
118;1194 + 895,0 m;1195 + 295,0 m;E;RPM Rälslitage i kurva;Rälslitage i kurva;140914 00:00;141114 00:00;2363267443;3698;;;09L60DO09;3,89;3,89;Linje;RPM_1409140956A_118_E_1311_499;P-Ec;414.0;SPL_1409140956A_118A_E_1311_503;1;2015;3,1;2,0;15,6;B;166.0;LHT;LHT;4,81;8,2;760,0;3.0;0,06;100,0;10,73;2.4;15L60DO15;10,84;406;spajan01;10,52;6,36;98;12,5;160514 12:46;8,2;60;8,23;6.0;0,43;19,1;8,23;15,21;10,84;10,52;Glt - Lkä;63.60000000000001;2009;Rail Wear varningslista;9,97;4,9;3,1;;140914 00:00;;;;438;;;;;;;;;;;;;;;;;;;;;;;;;
118;1204 + 292,0 m;1204 + 317,0 m;2;RPM Rälslitage i kurva;Rälslitage i kurva;140914 00:00;141114 00:00;2363267447;3698;;;;0,53;0,4;Driftplats (ahsp);RPM_1409140956A_118_E_1311_499;;;SPL_1409140956A_118A_E_1311_503;;;0,43;1,0;3,3;;;;;1,62;1,19;760,0;;0,43;100,0;1,55;2.4;;1,8;25;spajan01;1,32;1,8;100;2,87;160514 12:46;1,62;;1,4;;0,53;6,4;1,8;5,87;1,8;1,64;Lkä;;;Rail Wear varningslista;1,64;0,5;0,36;;140914 00:00;;;;38201;;;;;;;;;;;;;;;;;;;;;;;;;
118;1165 + 476,0 m;1165 + 807,0 m;E;RPM Rälslitage i kurva;Rälslitage i kurva;140914 00:00;141114 00:00;2363267449;3698;;;91L60DO90;1,34;1,34;Linje;RPM_1409140956A_118_E_1311_499;-;351.0;SPL_1409140956A_118A_E_1311_503;1;1991;1,09;2,0;14,2;B;;900;900;1,09;7,56;-900,0;;0,0;100,0;8,55;2.4;91L60DO90;8,55;333;spajan01;8,51;1,63;100;13,11;160514 12:46;7,56;60;7,56;;0,17;21,4;7,56;20,06;5,64;8,51;Lså - Grs;76.20000000000002;1991;Rail Wear varningslista;5,45;2,3;1,09;;140914 00:00;;;;766;;;;;;;;;;;;;;;;;;;;;;;;;
