Bandel;Startläge;Slutläge;Spårnamn;Event Category;Event Type;Start Date;End Date;Reference ID;Day Age;Last Edited By;Last Edited Time;Räl Beskrivning Yttersträng;Max Sidoslitage;Max Sidoslitage Yttersträng;Sträcka;Mätning;Befästningsmodell;Längd sträcka H > 6 mm Innersträng (m);Mätning Spårvidd;Spårklass;Räl Inläggningsår Innersträng;Medel Sidoslitage Cirkulärkurva;Hastighetsklass;Medel Spårvidd Cirkulärkurva;Slipermodell;Längd sträcka H > 6 mm Yttersträng (m);Räl Stålsort Yttersträng;Räl Stålsort Innersträng;Medel Höjdslitage Yttersträng Cirkulärkurva;Medel Höjdslitage Innersträng Cirkulärkurva;Radie;Längd sträcka H > 10 mm Innersträng (m);Medel Sidoslitage Innersträng Cirkulärkurva;Procent mätt Spårvidd;Max H Innersträng;Skriptversion;Räl Beskrivning Innersträng;Max H;Längd Kurva (m);_Skapat_av;Max Höjdslitage Innersträng;Medel H Yttersträng Cirkulärkurva;Procent mätt;Medel Spårvidd - Sidoslitage Cirkulärkurva;_Skapat_datum;Medel Höjdslitage Cirkulärkurva;Rälvikt (kg);Medel H Innersträng Cirkulärkurva;Längd sträcka H > 10 mm Yttersträng (m);Max Sidoslitage Innersträng;Max Spårvidd;Medel H Cirkulärkurva;Max Spårvidd - Max Sidoslitage;Max H Yttersträng;Max Höjdslitage;Plats;Längd Spårvidd max över UH1 gräns;Räl Inläggningsår Yttersträng;Skriptnamn;Max Höjdslitage Yttersträng;Min Spårvidd;Medel Sidoslitage Yttersträng Cirkulärkurva;Mätvagn;Mätdatum;Geometrityp;Räl Stålsort Höger räl;Medel Höjdslitage Vänster räl;BIS objnr;Längd sträcka H > 10 mm Vänster räl (m);Medel H Vänster räl;Medel Sidoslitage Vänster räl;Räl Inläggningsår Vänster räl;Räl Inläggningsår Höger räl;Max H Vänster räl;Max Höjdslitage Höger räl;Längd sträcka H > 10 mm Höger räl (m);Max Höjdslitage Vänster räl;Max Sidoslitage Vänster räl;Max Sidoslitage Höger räl;Medel Höjdslitage Höger räl;Medel H Höger räl;Medel Sidoslitage Höger räl;Max H Höger räl;Räl Beskrivning Vänster räl;Längd sträcka H > 6 mm Höger räl (m);Räl Stålsort Vänster räl;Räl Beskrivning Höger räl;Längd sträcka H > 6 mm Vänster räl (m);Medel Sidoslitage;Medel H;Medel Höjdslitage;Radie (meter);Event ID
117A;1290 + 803,0 m;1291 + 19,0 m;E;RPM Rälslitage i kurva;Rälslitage i kurva;150726 00:00;150926 00:00;2363268965;3383;;;13L60DO13;2,72;2,72;Linje;RPM_1507260938A_117A_E_1150_891;-;10.0;SPL_1507260938A_118A_E_1150_890;1;2012;1,5;2,0;8,9;B;9.0;LHT;LHT;1,94;2,18;580,0;;0,35;100,0;7,25;2.4;12L60DO12;7,25;219;spajan01;6,93;2,69;98;7,4;160513 22:16;2,18;60;2,35;;1,02;10,5;2,69;7,78;7,24;6,93;Nrt - Rps;;2013;Rail Wear varningslista;6,21;-1,7;1,5;;150726 00:00;;;;1108;;;;;;;;;;;;;;;;;;;;;;;;;
117A;1267 + 222,0 m;1267 + 580,0 m;E;RPM Rälslitage i kurva;Rälslitage i kurva;150726 00:00;150926 00:00;2363268973;3383;;;89L60DO89;2,1;2,1;Linje;RPM_1507260938A_117A_E_1150_891;P-Ec;307.0;SPL_1507260938A_118A_E_1150_890;1;1989;1,03;2,0;5,3;B;5.0;900;900;1,75;7,45;830,0;;-0,35;100,0;9,13;2.4;89L60DO89;9,13;358;spajan01;9,29;2,27;100;4,27;160513 22:16;7,45;60;7,28;;0,51;9,0;7,28;6,9;6,84;9,29;Ntv - Klv;;1989;Rail Wear varningslista;6,34;-0,3;1,03;;150726 00:00;;;;1054;;;;;;;;;;;;;;;;;;;;;;;;;
117A;1254 + 448,0 m;1254 + 765,0 m;E;RPM Rälslitage i kurva;Rälslitage i kurva;150726 00:00;150926 00:00;2363269006;3383;;;10L60DO10;7,82;7,82;Linje;RPM_1507260938A_117A_E_1150_891;P-Ec;55.0;SPL_1507260938A_118A_E_1150_890;1;2013;6,58;2,0;14,1;B;287.0;LHT;LHT;7,53;3,7;-620,0;35.0;0,48;100,0;13,12;2.4;09L60DO09;13,12;308;spajan01;13,1;10,82;100;7,52;160513 22:16;7,53;60;3,94;112.0;1,99;16,2;10,82;8,38;12,7;13,1;Kva - Ntv;9.1;2013;Rail Wear varningslista;8,84;0,2;6,58;;150726 00:00;;;;1021;;;;;;;;;;;;;;;;;;;;;;;;;
117A;1236 + 532,0 m;1236 + 564,0 m;E;RPM Rälslitage i kurva;Rälslitage i kurva;150726 00:00;150926 00:00;2363269012;3383;;;93L60DO93;1,33;0,87;Linje;RPM_1507260938A_117A_E_1150_891;P-Ec;146.0;SPL_1507260938A_118A_E_1150_890;1;1993;0,64;2,0;3,6;B2.5;;HT;HT;1,58;6,82;-3450,0;;0,64;100,0;8,51;2.4;93L60DO93;8,51;32;spajan01;8,21;1,72;100;2,96;160513 22:16;6,82;60;7,14;;1,33;4,8;7,14;3,47;3,14;8,21;Mk - Pc;;1993;Rail Wear varningslista;2,84;1,9;0,29;;150726 00:00;;;;511;;;;;;;;;;;;;;;;;;;;;;;;;
117A;1268 + 559,0 m;1269 + 77,0 m;E;RPM Rälslitage i kurva;Rälslitage i kurva;150726 00:00;150926 00:00;2363269020;3383;;;09L60DO09;5,14;5,14;Linje;RPM_1507260938A_117A_E_1150_891;P-Ec;46.0;SPL_1507260938A_118A_E_1150_890;1;2014;3,88;2,0;11,5;B;323.0;LHT;LHT;2,62;3,31;-441,0;17.0;0,44;100,0;11,82;2.4;09L60DO09;11,82;519;spajan01;11,71;4,56;100;7,62;160513 22:16;3,31;60;3,53;;1,72;14,6;4,56;9,46;9,41;11,71;Ntv - Klv;;2009;Rail Wear varningslista;9,27;0,7;3,88;;150726 00:00;;;;563;;;;;;;;;;;;;;;;;;;;;;;;;
117A;1250 + 589,0 m;1250 + 760,0 m;E;RPM Rälslitage i kurva;Rälslitage i kurva;150726 00:00;150926 00:00;2363269028;3383;;;93L60DO93;2,22;2,22;Linje;RPM_1507260938A_117A_E_1150_891;P-Ec;;SPL_1507260938A_118A_E_1150_890;1;1993;1,07;2,0;6,2;B;19.0;1100;1100;5,32;4,65;-990,0;;-0,61;100,0;5,53;2.4;93L60DO93;7,42;170;spajan01;5,72;5,85;100;5,13;160513 22:16;5,32;60;4,35;;-0,31;10,7;5,85;8,48;7,42;6,4;Pc - Kva;;1993;Rail Wear varningslista;6,4;-0,2;1,07;;150726 00:00;;;;1010;;;;;;;;;;;;;;;;;;;;;;;;;
117A;1303 + 120,0 m;1303 + 582,0 m;E;RPM Rälslitage i kurva;Rälslitage i kurva;150726 00:00;150926 00:00;2363269032;3383;;;12L60DO12;2,46;2,46;Linje;RPM_1507260938A_117A_E_1150_891;-;9.0;SPL_1507260938A_118A_E_1150_890;1;2007;1,92;2,0;8,3;B2.5F;90.0;LHT;1100;2,24;4,84;-590,0;;0,46;100,0;6,47;2.4;07L60DO07;9,3;462;spajan01;5,96;3,2;100;6,38;160513 22:16;4,84;60;5,07;;1,61;11,0;5,07;8,54;9,3;9,54;Kaa - Gv;;2012;Rail Wear varningslista;9,54;-0,1;1,92;;150726 00:00;;;;604;;;;;;;;;;;;;;;;;;;;;;;;;
117A;1233 + 146,0 m;1233 + 168,0 m;E;RPM Rälslitage i kurva;Rälslitage i kurva;150726 00:00;150926 00:00;2363269040;3383;;;12L60DO12;1,34;1,34;Linje;RPM_1507260938A_117A_E_1150_891;-;;SPL_1507260938A_118A_E_1150_890;1;2012;0,9;2,0;5,3;B2.5;;LHT;LHT;3,27;2,44;1780,0;;0,07;100,0;2,66;2.4;12L60DO12;4,07;22;spajan01;2,62;3,72;100;4,4;160513 22:16;3,27;60;2,47;;0,25;6,4;3,72;5,06;4,07;3,68;Mk - Pc;;2012;Rail Wear varningslista;3,68;4,1;0,9;;150726 00:00;;;;502;;;;;;;;;;;;;;;;;;;;;;;;;
117A;1274 + 122,0 m;1274 + 459,0 m;E;RPM Rälslitage i kurva;Rälslitage i kurva;150726 00:00;150926 00:00;2363269041;3383;;;89L60DO89;8,53;8,53;Driftplats (nhsp);RPM_1507260938A_117A_E_1150_891;P-Ec;;SPL_1507260938A_118A_E_1150_890;1;1989;7,03;2,0;14,8;B;312.0;900;900;6,08;2,98;490,0;;-0,17;100,0;5,92;2.4;89L60DO89;10,8;337;spajan01;5,14;9,6;100;7,77;160513 22:16;6,08;60;2,89;30.0;1,62;17,6;9,6;9,07;10,8;7,03;Klv;230.19999999999996;2005;Rail Wear varningslista;7,03;1,6;7,03;;150726 00:00;;;;1077;;;;;;;;;;;;;;;;;;;;;;;;;
117A;1261 + 251,0 m;1261 + 586,0 m;E;RPM Rälslitage i kurva;Rälslitage i kurva;150726 00:00;150926 00:00;2363269044;3383;;;89L60DO89;5,44;5,44;Linje;RPM_1507260938A_117A_E_1150_891;;15.0;SPL_1507260938A_118A_E_1150_890;1;2010;3,75;2,0;11,7;B;167.0;900;LHT;4,34;2,78;620,0;;0,19;100,0;8,14;2.4;10L60DO10;10,35;335;spajan01;7,59;6,21;100;7,95;160513 22:16;4,34;60;2,88;1.0;1,1;14,7;6,21;9,26;10,35;9,74;Kva - Ntv;;1989;Rail Wear varningslista;9,74;2,0;3,75;;150726 00:00;;;;1038;;;;;;;;;;;;;;;;;;;;;;;;;
