Bandel;Startläge;Slutläge;Spårnamn;Event Category;Event Type;Start Date;End Date;Reference ID;Day Age;Last Edited By;Last Edited Time;Räl Beskrivning Yttersträng;Max Sidoslitage;Max Sidoslitage Yttersträng;Sträcka;Mätning;Befästningsmodell;Längd sträcka H > 6 mm Innersträng (m);Mätning Spårvidd;Spårklass;Räl Inläggningsår Innersträng;Medel Sidoslitage Cirkulärkurva;Hastighetsklass;Medel Spårvidd Cirkulärkurva;Slipermodell;Längd sträcka H > 6 mm Yttersträng (m);Räl Stålsort Yttersträng;Räl Stålsort Innersträng;Medel Höjdslitage Yttersträng Cirkulärkurva;Medel Höjdslitage Innersträng Cirkulärkurva;Radie;Längd sträcka H > 10 mm Innersträng (m);Medel Sidoslitage Innersträng Cirkulärkurva;Procent mätt Spårvidd;Max H Innersträng;Skriptversion;Räl Beskrivning Innersträng;Max H;Längd Kurva (m);_Skapat_av;Max Höjdslitage Innersträng;Medel H Yttersträng Cirkulärkurva;Procent mätt;Medel Spårvidd - Sidoslitage Cirkulärkurva;_Skapat_datum;Medel Höjdslitage Cirkulärkurva;Rälvikt (kg);Medel H Innersträng Cirkulärkurva;Längd sträcka H > 10 mm Yttersträng (m);Max Sidoslitage Innersträng;Max Spårvidd;Medel H Cirkulärkurva;Max Spårvidd - Max Sidoslitage;Max H Yttersträng;Max Höjdslitage;Plats;Längd Spårvidd max över UH1 gräns;Räl Inläggningsår Yttersträng;Skriptnamn;Max Höjdslitage Yttersträng;Min Spårvidd;Medel Sidoslitage Yttersträng Cirkulärkurva;Mätvagn;Mätdatum;Geometrityp;Räl Stålsort Höger räl;Medel Höjdslitage Vänster räl;BIS objnr;Längd sträcka H > 10 mm Vänster räl (m);Medel H Vänster räl;Medel Sidoslitage Vänster räl;Räl Inläggningsår Vänster räl;Räl Inläggningsår Höger räl;Max H Vänster räl;Max Höjdslitage Höger räl;Längd sträcka H > 10 mm Höger räl (m);Max Höjdslitage Vänster räl;Max Sidoslitage Vänster räl;Max Sidoslitage Höger räl;Medel Höjdslitage Höger räl;Medel H Höger räl;Medel Sidoslitage Höger räl;Max H Höger räl;Räl Beskrivning Vänster räl;Längd sträcka H > 6 mm Höger räl (m);Räl Stålsort Vänster räl;Räl Beskrivning Höger räl;Längd sträcka H > 6 mm Vänster räl (m);Medel Sidoslitage;Medel H;Medel Höjdslitage;Radie (meter);Event ID
119;1152 + 64,0 m;1152 + 272,0 m;E;RPM Rälslitage i kurva;Rälslitage i kurva;110807 00:00;111007 00:00;2363272726;4832;;;94L60DO93;5,25;5,25;Driftplats (nhsp);RPM_1108071752A_119_E_1146_670;P-Ec;;;1;1994;4,35;2,0;;B2.5;;1100;1100;2,07;2,98;-765,0;;0,54;;3,68;2.4;94L60DO93;4,86;208;spajan01;3,36;4,25;100;;160518 22:08;2,98;60;3,24;;1,09;;4,25;;4,86;3,36;Svt;;1994;Rail Wear varningslista;2,28;;4,35;;110807 00:00;;;;1174;;;;;;;;;;;;;;;;;;;;;;;;;
119;1149 + 231,0 m;1149 + 697,0 m;E;RPM Rälslitage i kurva;Rälslitage i kurva;110807 00:00;111007 00:00;2363272727;4832;;;94L60DO93;3,73;3,73;Linje;RPM_1108071752A_119_E_1146_670;P-Ec;;;1;1994;2,85;3,0;;B2.5;;1100;1100;3,43;2,52;-963,0;;0,0;;3,67;2.4;94L60DO93;5,9;466;spajan01;3,67;4,85;100;;160518 22:08;3,43;60;2,52;;0,0;;4,85;;5,9;4,35;Bdn - Sän;;1994;Rail Wear varningslista;4,35;;2,85;;110807 00:00;;;;623;;;;;;;;;;;;;;;;;;;;;;;;;
119;1171 + 929,0 m;1172 + 397,0 m;E;RPM Rälslitage i kurva;Rälslitage i kurva;120805 00:00;121005 00:00;2363272749;4468;;;14L60?;2,67;1,34;Linje;RPM_1208050947A_119_E_1179_494;P-Ec;1.0;;1;1993;0,46;3,0;;B2.5;;LHT;900A;2,86;3,26;1000,0;;0,18;;6,36;2.4;93L60DO92;6,36;470;spajan01;5,03;3,09;100;;160518 02:05;3,26;60;3,35;;2,67;;3,35;;4,09;5,03;Gst - Nvn;;2014;Rail Wear varningslista;3,93;;0,46;;120805 00:00;;;;636;;;;;;;;;;;;;;;;;;;;;;;;;
119;1148 + 469,0 m;1148 + 940,0 m;E;RPM Rälslitage i kurva;Rälslitage i kurva;120805 00:00;121005 00:00;2363272750;4468;;;94L60DO93;0,9;0,9;Linje;RPM_1208050947A_119_E_1179_494;P-Ec;;;1;1994;0,58;3,0;;B2.5;;1100;1100;0,07;0,12;987,0;;0,0;;0,33;2.4;94L60DO93;0,59;471;spajan01;0,33;0,36;100;;160518 02:05;0,12;60;0,12;;0,11;;0,36;;0,59;0,33;Bdn - Sän;;1994;Rail Wear varningslista;0,24;;0,58;;120805 00:00;;;;622;;;;;;;;;;;;;;;;;;;;;;;;;
119;1178 + 194,0 m;1178 + 446,0 m;E;RPM Rälslitage i kurva;Rälslitage i kurva;120805 00:00;121005 00:00;2363272751;4468;;;93L60DO92;1,45;1,45;Linje;RPM_1208050947A_119_E_1179_494;P-Ec;;;1;1993;0,42;2,0;;B2.5;;900A;900A;2,29;2,27;-615,0;;0,01;;3,74;2.4;93L60DO92;3,74;252;spajan01;3,74;2,5;100;;160518 02:05;2,29;60;2,28;;0,05;;2,5;;3,41;3,74;Nvn - Le;;1993;Rail Wear varningslista;2,9;;0,42;;120805 00:00;;;;1210;;;;;;;;;;;;;;;;;;;;;;;;;
119;1173 + 184,0 m;1173 + 938,0 m;E;RPM Rälslitage i kurva;Rälslitage i kurva;120805 00:00;121005 00:00;2363272752;4468;;;93L60DO92;1,93;1,13;Linje;RPM_1208050947A_119_E_1179_494;P-Ec;;;1;1993;0,47;3,0;;B2.5;;900A;900A;3,25;3,1;-1200,0;;0,47;;5,36;2.4;93L60DO92;5,7;754;spajan01;5,02;3,32;100;;160518 02:05;3,25;60;3,33;;1,93;;3,33;;5,7;5,53;Gst - Nvn;;1993;Rail Wear varningslista;5,53;;0,15;;120805 00:00;;;;637;;;;;;;;;;;;;;;;;;;;;;;;;
119;1172 + 899,0 m;1172 + 943,0 m;E;RPM Rälslitage i kurva;Rälslitage i kurva;120805 00:00;121005 00:00;2363272753;4468;;;93L60DO92;1,12;0,89;Linje;RPM_1208050947A_119_E_1179_494;P-Ec;;;1;1993;0,62;3,0;;B2.5;;900A;900A;3,02;3,13;-25000,0;;0,62;;3,89;2.4;93L60DO92;3,89;44;spajan01;3,46;3,21;100;;160518 02:05;3,13;60;3,44;;1,12;;3,44;;3,76;3,62;Gst - Nvn;;1993;Rail Wear varningslista;3,62;;0,38;;120805 00:00;;;;17416;;;;;;;;;;;;;;;;;;;;;;;;;
119;1171 + 212,0 m;1171 + 493,0 m;fdE;RPM Rälslitage i kurva;Rälslitage i kurva;120805 00:00;121005 00:00;2363272754;4468;;;93L60DO92;3,08;2,55;Driftplats (nhsp);RPM_1208050947A_119_E_1179_494;;1.0;;1;1993;1,53;3,0;;B2.5;;900A;900A;3,96;3,47;-1070,0;;0,15;;6,21;2.4;93L60DO92;6,21;281;spajan01;4,79;4,73;100;;160518 02:05;3,96;60;3,54;;3,08;;4,73;;5,59;4,79;Gst;;1993;Rail Wear varningslista;4,32;;1,53;;120805 00:00;;;;1196;;;;;;;;;;;;;;;;;;;;;;;;;
119;1155 + 118,0 m;1155 + 510,0 m;E;RPM Rälslitage i kurva;Rälslitage i kurva;120805 00:00;121005 00:00;2363272755;4468;;;94L60DO93;0,83;0,44;Linje;RPM_1208050947A_119_E_1179_494;P-Ec;;;1;1994;0,33;3,0;;B2.5;;1100;1100;0,24;0,16;-1890,0;;0,33;;0,84;2.4;94L60DO93;0,93;392;spajan01;0,5;0,32;100;;160518 02:05;0,24;60;0,33;;0,83;;0,33;;0,93;0,77;Svt - Sby;;1994;Rail Wear varningslista;0,77;;0,16;;120805 00:00;;;;628;;;;;;;;;;;;;;;;;;;;;;;;;
119;1153 + 143,0 m;1153 + 577,0 m;E;RPM Rälslitage i kurva;Rälslitage i kurva;120805 00:00;121005 00:00;2363272756;4468;;;94L60DO93;0,8;0,01;Linje;RPM_1208050947A_119_E_1179_494;P-Ec;;;1;2013;0,47;2,0;;B2.5;;1100;LHT;0,23;0,09;-484,0;;0,47;;0,84;2.4;13L60DO13;0,84;434;spajan01;0,44;0,23;100;;160518 02:05;0,23;60;0,33;;0,8;;0,33;;0,38;0,44;Svt - Sby;;1994;Rail Wear varningslista;0,38;;0,0;;120805 00:00;;;;626;;;;;;;;;;;;;;;;;;;;;;;;;
