Bandel,Startläge,Slutläge,Spårnamn,Start Date,End Date,Day Age,Radie,Medel Spårvidd Cirkulärkurva,Mätning Spårvidd
118,"1192 + 633,0 m","1192 + 815,0 m",E,110401 00:00,110601 00:00,4960,"1620,0",,
118,"1205 + 94,0 m","1205 + 425,0 m",E,110401 00:00,110601 00:00,4960,"597,0",,
118,"1229 + 321,0 m","1229 + 751,0 m",E,110401 00:00,110601 00:00,4960,"500,0",,
118,"1231 + 540,0 m","1231 + 950,0 m",E,110401 00:00,110601 00:00,4960,"959,0",,
118,"1223 + 646,0 m","1223 + 910,0 m",E,110401 00:00,110601 00:00,4960,"766,0",,
118,"1153 + 7,0 m","1153 + 362,0 m",E,110401 00:00,110601 00:00,4960,"850,0",,
118,"1198 + 323,0 m","1198 + 683,0 m",E,110401 00:00,110601 00:00,4960,"395,0",,
118,"1191 + 825,0 m","1192 + 87,0 m",E,110401 00:00,110601 00:00,4960,"453,0",,
118,"1185 + 653,0 m","1185 + 860,0 m",E,160809 09:01,161009 09:01,3003,"-590,0","10,3",SPL_1608090901A_118A_E_1150_890
118,"1195 + 767,0 m","1196 + 293,0 m",E,160809 09:01,161009 09:01,3003,"-400,0","14,9",SPL_1608090901A_118A_E_1150_890
118,"1220 + 401,0 m","1220 + 809,0 m",E,160809 09:01,161009 09:01,3003,"-484,0","11,2",SPL_1608090901A_118A_E_1150_890
118,"1214 + 905,0 m","1215 + 63,0 m",E,160811 00:00,161011 00:00,3001,"-1640,0","6,3",SPL_1608111248A_118A_E_1216_77
118,"1215 + 937,0 m","1216 + 104,0 m",E,160811 00:00,161011 00:00,3001,"1815,0","6,7",SPL_1608111248A_118A_E_1216_77
118,"1222 + 321,0 m","1222 + 371,0 m",1,160811 00:00,161011 00:00,3001,"1500,0","2,9",SPL_1608111229A_118A_E_1223_401
118,"1223 + 21,0 m","1223 + 71,0 m",1,160811 00:00,161011 00:00,3001,"-760,0","4,4",SPL_1608111229A_118A_E_1223_401
118,"1230 + 889,0 m","1230 + 905,0 m",2,160811 00:00,161011 00:00,3001,"300,0","4,7",SPL_1608111159A_118A_E_1231_987
118,"1200 + 987,0 m","1201 + 143,0 m",E,160809 09:01,161009 09:01,3003,"805,0","9,7",SPL_1608090901A_118A_E_1150_890
118,"1196 + 734,0 m","1196 + 970,0 m",E,160809 09:01,161009 09:01,3003,"417,0","16,9",SPL_1608090901A_118A_E_1150_890
118,"1225 + 571,0 m","1225 + 931,0 m",E,160809 09:01,161009 09:01,3003,"523,0","8,8",SPL_1608090901A_118A_E_1150_890
118,"1192 + 983,0 m","1193 + 642,0 m",E,160809 09:01,161009 09:01,3003,"1775,0","4,0",SPL_1608090901A_118A_E_1150_890
118,"1229 + 47,0 m","1229 + 321,0 m",E,160809 09:01,161009 09:01,3003,"-515,0","16,4",SPL_1608090901A_118A_E_1150_890
118,"1182 + 684,0 m","1182 + 939,0 m",E,110401 00:00,110601 00:00,4960,"-740,0",,
118,"1202 + 753,0 m","1203 + 205,0 m",E,110401 00:00,110601 00:00,4960,"483,0",,
118,"1219 + 392,0 m","1219 + 622,0 m",E,110401 00:00,110601 00:00,4960,"1170,0",,
118,"1209 + 662,0 m","1209 + 874,0 m",E,110401 00:00,110601 00:00,4960,"1040,0",,
118,"1209 + 408,0 m","1209 + 594,0 m",E,110401 00:00,110601 00:00,4960,"1080,0",,
118,"1217 + 489,0 m","1217 + 785,0 m",E,110401 00:00,110601 00:00,4960,"920,0",,
118,"1193 + 812,0 m","1194 + 20,0 m",2,110401 00:00,110601 00:00,4960,"-840,0",,
118,"1186 + 629,0 m","1186 + 860,0 m",E,110401 00:00,110601 00:00,4960,"895,0",,
118,"1174 + 553,0 m","1174 + 859,0 m",E,121101 00:00,130101 00:00,4380,"2620,0",,
118,"1152 + 428,0 m","1152 + 567,0 m",E,121101 00:00,130101 00:00,4380,"20000,0",,
118,"1209 + 594,0 m","1209 + 662,0 m",E,121101 00:00,130101 00:00,4380,"3000,0",,
118,"1202 + 753,0 m","1203 + 205,0 m",E,121101 00:00,130101 00:00,4380,"483,0",,
118,"1169 + 483,0 m","1169 + 904,0 m",E,121101 00:00,130101 00:00,4380,"765,0",,
118,"1160 + 175,0 m","1161 + 535,0 m",E,121101 00:00,130101 00:00,4380,"1600,0",,
118,"1214 + 17,0 m","1214 + 206,0 m",E,121101 00:00,130101 00:00,4380,"1100,0",,
118,"1200 + 78,0 m","1200 + 295,0 m",E,121101 00:00,130101 00:00,4380,"850,0",,
118,"1163 + 916,0 m","1164 + 148,0 m",E,121101 00:00,130101 00:00,4380,"1150,0",,
118,"1192 + 983,0 m","1193 + 642,0 m",E,121101 00:00,130101 00:00,4380,"1775,0",,
118,"1201 + 910,0 m","1202 + 219,0 m",E,121101 00:00,130101 00:00,4380,"1000,0",,
118,"1207 + 826,0 m","1208 + 111,0 m",E,121101 00:00,130101 00:00,4380,"989,0",,
118,"1154 + 955,0 m","1155 + 270,0 m",E,121101 00:00,130101 00:00,4380,"650,0",,
118,"1153 + 7,0 m","1153 + 362,0 m",E,121101 00:00,130101 00:00,4380,"850,0",,
118,"1205 + 94,0 m","1205 + 425,0 m",E,121101 00:00,130101 00:00,4380,"597,0",,
118,"1198 + 683,0 m","1199 + 115,0 m",E,121101 00:00,130101 00:00,4380,"-612,0",,
118,"1206 + 417,0 m","1206 + 692,0 m",E,121101 00:00,130101 00:00,4380,"-901,0",,
118,"1196 + 734,0 m","1196 + 970,0 m",E,121101 00:00,130101 00:00,4380,"417,0",,
118,"1200 + 987,0 m","1201 + 143,0 m",E,121101 00:00,130101 00:00,4380,"805,0",,
118,"1209 + 74,0 m","1209 + 204,0 m",E,121101 00:00,130101 00:00,4380,"8000,0",,
118,"1199 + 115,0 m","1199 + 157,0 m",E,121101 00:00,130101 00:00,4380,"-682,0",,
118,"1166 + 421,0 m","1166 + 843,0 m",E,140914 00:00,141114 00:00,3698,"-900,0","17,3",SPL_1409140956A_118A_E_1311_503
118,"1214 + 477,0 m","1214 + 749,0 m",E,121101 00:00,130101 00:00,4380,"-1085,0",,
118,"1206 + 392,0 m","1206 + 417,0 m",E,121101 00:00,130101 00:00,4380,"-3000,0",,
118,"1202 + 219,0 m","1202 + 530,0 m",E,121101 00:00,130101 00:00,4380,"-960,0",,
118,"1213 + 619,0 m","1213 + 814,0 m",E,121101 00:00,130101 00:00,4380,"-1230,0",,
118,"1203 + 956,0 m","1203 + 989,0 m",E,121101 00:00,130101 00:00,4380,"-20000,0",,
118,"1206 + 120,0 m","1206 + 392,0 m",E,121101 00:00,130101 00:00,4380,"-753,0",,
118,"1203 + 307,0 m","1203 + 520,0 m",E,121101 00:00,130101 00:00,4380,"-917,0",,
118,"1199 + 157,0 m","1199 + 494,0 m",E,121101 00:00,130101 00:00,4380,"-555,0",,
118,"1227 + 131,0 m","1227 + 470,0 m",E,110401 00:00,110601 00:00,4960,"967,0",,
118,"1229 + 910,0 m","1230 + 112,0 m",E,110401 00:00,110601 00:00,4960,"469,0",,
118,"1161 + 754,0 m","1162 + 361,0 m",E,121101 00:00,130101 00:00,4380,"-1600,0",,
118,"1201 + 622,0 m","1201 + 858,0 m",E,121101 00:00,130101 00:00,4380,"-850,0",,
118,"1158 + 184,0 m","1160 + 135,0 m",E,121101 00:00,130101 00:00,4380,"-1600,0",,
