Emissionsfaktor;Tidsrelaterad täckning;Värde;Enhet;Värde 2;Enhet 2;Co2e/GJ;Referens;;;;;
Diesel (MK 1);2020;43,25;MJ/kg;2,75;kgCO2e/kg;0,063583815;Trafikverket, bilaga 1 effektsamband;;;;;
El (Svensk elmix);2020;7,27;MJ/kWh;0,047;kgCO2e/kWh;0,006464924;;;;;;
